games,region,gold,silver,bronze,total
2016 Summer,USA,139,54,71,264
2014 Winter,Canada,59,22,5,86
2012 Summer,USA,145,57,46,248
2010 Winter,Canada,67,15,8,90
2008 Summer,USA,127,110,80,317
2006 Winter,Sweden,35,21,8,64
2004 Summer,USA,117,75,71,263
2002 Winter,Canada,52,7,15,74
2000 Summer,USA,130,61,51,242
1998 Winter,USA,25,4,5,34
1996 Summer,USA,159,48,52,259
1994 Winter,Sweden,23,1,0,24
1992 Winter,Russia,35,10,14,59
1992 Summer,Russia,92,61,67,220
1988 Winter,Russia,40,14,12,66
1988 Summer,Russia,134,67,99,300
1984 Winter,Russia,29,15,12,56
1984 Summer,USA,186,116,50,352
1980 Winter,USA,24,4,2,30
1980 Summer,Russia,187,129,126,442
1976 Winter,Russia,38,7,11,56
1976 Summer,Russia,114,95,77,286
1972 Winter,Russia,36,6,3,45
1972 Summer,Russia,107,47,60,214
1968 Winter,Russia,26,6,5,37
1968 Summer,USA,99,32,35,166
1964 Winter,Russia,30,8,9,47
1964 Summer,USA,95,37,37,169
1960 Winter,USA,19,4,4,27
1960 Summer,USA,81,23,21,125
1956 Winter,Russia,26,5,6,37
1956 Summer,Russia,68,46,55,169
1952 Winter,Canada,16,0,1,17
1952 Summer,USA,83,23,28,134
1948 Winter,Canada,13,0,2,15
1948 Summer,USA,87,30,35,152
1936 Winter,UK,12,1,4,17
1936 Summer,Germany,93,70,61,224
1932 Winter,Canada,14,1,5,20
1932 Summer,USA,81,47,61,189
1928 Winter,Canada,12,0,0,12
1928 Summer,USA,47,24,17,88
1924 Winter,UK,16,4,11,31
1924 Summer,USA,97,36,49,182
1920 Summer,USA,111,45,38,194
1912 Summer,Sweden,103,62,25,190
1908 Summer,UK,147,131,90,368
1906 Summer,Greece,24,48,30,102
1904 Summer,USA,128,141,125,394
1900 Summer,UK,59,34,15,108
1896 Summer,Germany,25,5,2,32
